aid,replicate,roc,pr,dpr,baseline
720422,5,0.6559349593495936,0.6022704993268159,0.12456349295738911,0.47770700636942676
720427,5,0.7821428571428571,0.7295418225319966,0.23909596265938515,0.49044585987261147
720439,5,0.6083495776478234,0.6210568204089936,0.13698038728797446,0.4840764331210191
720442,5,0.8081168831168831,0.8151943414237821,0.32474848155117064,0.49044585987261147
720445,5,0.7719896137617657,0.7658507477868561,0.2690354611626523,0.4968152866242038
720446,5,0.6292682926829268,0.5728127716176022,0.09510576524817549,0.47770700636942676
720450,5,0.7322297955209348,0.6486062407987823,0.15179095417457844,0.4968152866242038
720453,5,0.8440441415124958,0.825567389855943,0.3287521032317392,0.4968152866242038
720021,5,0.6272727272727273,0.5763237296676401,0.08587786979502865,0.49044585987261147
720463,5,0.8336579032781565,0.7906061435384086,0.2937908569142048,0.4968152866242038
720473,5,0.7785388127853882,0.6965387987169039,0.2315706458506619,0.46496815286624205
720478,5,0.7307317073170732,0.6379062178923811,0.16019921152295435,0.47770700636942676
720481,5,0.773170731707317,0.7096936712662721,0.23198666489684538,0.47770700636942676
720482,5,0.6683490719635298,0.6459576900958073,0.17462011047797288,0.4713375796178344
1207589,5,0.473535224055974,0.5016748781559416,0.0016748781559415837,0.5
1207591,5,0.6131668881716348,0.6477134599179379,0.14880278453667434,0.4989106753812636
1207592,5,0.5051814843584492,0.5143245626598119,0.014324562659811857,0.5
1438147,5,0.601040650406504,0.6065377253670927,0.11056998343160884,0.4959677419354839
1501337,5,0.46811549841852873,0.5226852344403219,0.02268523444032189,0.5
31668,5,0.4393028846153846,0.309963291004446,-0.007109879727261348,0.3170731707317073
482894,6,0.6700864924549135,0.6659718218274235,0.16717086259480962,0.4988009592326139
507074,6,0.8887758875739645,0.9023295511585882,0.40232955115858815,0.5
507077,6,0.7461168639053254,0.7272110184580447,0.2272110184580447,0.5
485367,6,0.5650589596271378,0.4364626433667319,0.08646264336673193,0.35
1708,6,0.4870673259794599,0.4350690090687305,0.010972623526561809,0.42409638554216866
2230,6,0.6819903581267217,0.6352942122316388,0.262237217412986,0.37305699481865284
493248,6,0.5377310907165418,0.5343987491590071,0.03439874915900709,0.5
449749,6,0.6049777416156968,0.5968540569345835,0.11159547791090058,0.4852585790236829
588344,6,0.41666666666666663,0.4400745313973511,-0.06761777629495658,0.5076923076923077
588811,6,0.6729125575279422,0.681696161468018,0.18169616146801804,0.5
588345,6,0.5532136480856973,0.5774153303191092,0.07741533031910919,0.5
602235,6,0.5510763888888888,0.5045180798485974,0.004518079848597423,0.5
602386,6,0.5729,0.5897565466122541,0.08975654661225407,0.5
602234,6,0.5534375,0.5601616540640344,0.0601616540640344,0.5
602374,6,0.4964736996767558,0.5260625109162912,0.029092813946594243,0.49696969696969695
652135,6,0.787950852160127,0.803710638857041,0.30371063885704097,0.5
1053173,6,0.6567528735632183,0.6624954901548789,0.16422559396110725,0.4982698961937716
48288,6,0.6280386280386281,0.6497276328089963,0.15295343926060917,0.4967741935483871
52163,6,0.5271428571428571,0.5383059462577748,0.03830594625777484,0.5
218702,6,0.535891684024996,0.5056762692781105,0.005676269278110491,0.5
310904,6,0.705952380952381,0.7021543009306555,0.2091965544517822,0.49295774647887325
404304,6,0.3701372997711671,0.4056206383845313,-0.0863579712411372,0.4919786096256685
456868,6,0.6123188405797101,0.5942081654260871,0.10484646329842756,0.48936170212765956
899,6,0.6768640350877193,0.6410519482309183,0.14856446909903182,0.49248747913188645
881,6,0.6354256969139407,0.5650812003434608,0.16816302818618128,0.3969181721572795
1394,6,0.5757314974182444,0.6121650843869784,0.11515909636302629,0.49700598802395207
1540,6,0.5861571737563086,0.6025939433700099,0.11266105746396965,0.4899328859060403
1750,6,0.6228050921861281,0.5763430789288817,0.08004678263258541,0.4962962962962963
521,6,0.6127136752136753,0.51265204966827,0.17087989776953588,0.34177215189873417
883,6,0.7177471281612998,0.6993947629327382,0.20023004525816418,0.499164717674574
485349,6,0.533641486442456,0.3688252191191662,0.03398065953367396,0.33484455958549225
1215,6,0.7634995752942605,0.6913565813849913,0.31139438856835616,0.3799621928166352
2572,6,0.6176217204020362,0.5495669345402336,0.1306721038806971,0.41889483065953653
689,6,0.5416666666666666,0.41679941970246503,0.1033665838815695,0.31343283582089554
2161,6,0.6047116736990155,0.5300432834053208,0.06258766210354566,0.46745562130177515
2364,6,0.8070488721804511,0.7734613715879142,0.2747806328016345,0.49868073878627966
488789,6,0.5259165613147915,0.5275602980858325,0.04049133256859111,0.4870689655172414
463120,6,0.7463662790697674,0.5339194724746755,0.224566954489064,0.30935251798561153
488785,6,0.5948275862068966,0.6151293322984593,0.11798647515560218,0.49714285714285716
493182,6,0.7723345467304065,0.7657624585583167,0.2657624585583167,0.5
488921,6,0.7527677560837578,0.6489015397965833,0.296628812523856,0.3522727272727273
504729,6,0.7775343906072023,0.7775757027698762,0.3056130859474463,0.4719626168224299
488835,6,0.6064420584968531,0.6098112432217137,0.11321260376593134,0.4965986394557823
720033,6,0.8272727272727273,0.7708908608710898,0.28044500099847836,0.49044585987261147
720044,6,0.8760142810775722,0.884837910758471,0.38802262413426714,0.4968152866242038
720046,6,0.8790976955533917,0.8793352564237125,0.38251996979950864,0.4968152866242038
720076,6,0.8912690684842584,0.8950436447444909,0.3982283581202871,0.4968152866242038
720081,6,0.7052032520325203,0.6527115243216125,0.17500451795218575,0.47770700636942676
720107,6,0.5986692632262253,0.5774798828887522,0.08066459626454836,0.4968152866242038
720113,6,0.7450341908173234,0.6946085352417061,0.22327095562387167,0.4713375796178344
720115,6,0.49253489126906846,0.5085270409268123,0.011711754302608512,0.4968152866242038
720127,6,0.8158065563128855,0.811353947836143,0.3145386612119392,0.4968152866242038
720130,6,0.8276533592989289,0.8171522136493599,0.32033692702515604,0.4968152866242038
720132,6,0.8163961038961038,0.780341130617727,0.28989527074511556,0.49044585987261147
720134,6,0.8995121951219512,0.8875899292915203,0.4098829229220935,0.47770700636942676
720136,6,0.8244076598506979,0.808850583580437,0.3120352969562332,0.4968152866242038
720137,6,0.7766958779617007,0.7224253868960695,0.22561010027186568,0.4968152866242038
720146,6,0.6608244076598507,0.6688103244163397,0.17199503779213587,0.4968152866242038
720157,6,0.7130081300813008,0.6686433793170193,0.19093637294759258,0.47770700636942676
720162,6,0.9337877312560856,0.9177407358605111,0.42092544923630726,0.4968152866242038
